customer_id,city,signup_date
1,Mumbai,2021-02-16
2,Bangalore,2019-06-22
3,Pune,2022-01-25
4,Mumbai,2023-06-14
5,Delhi,2023-06-24
6,Bangalore,2022-03-07
7,Delhi,2021-07-18
8,Bangalore,2021-03-29
9,Mumbai,2019-09-06
10,Bangalore,2022-05-25
11,Delhi,2022-03-08
12,Pune,2022-05-13
13,Bangalore,2023-11-29
14,Bangalore,2022-11-08
15,Pune,2022-08-23
16,Bangalore,2019-04-11
17,Bangalore,2021-09-25
18,Bangalore,2020-06-28
19,Delhi,2020-06-11
20,Mumbai,2021-07-07
21,Mumbai,2022-11-09
22,Mumbai,2020-02-05
23,Pune,2022-10-27
24,Bangalore,2022-10-10
25,Bangalore,2020-10-19
26,Delhi,2021-01-18
27,Mumbai,2023-04-08
28,Delhi,2022-10-15
29,Bangalore,2019-07-20
30,Bangalore,2023-10-05
31,Bangalore,2023-06-20
32,Delhi,2023-10-29
33,Delhi,2022-03-18
34,Pune,2019-03-18
35,Delhi,2019-05-01
36,Mumbai,2021-07-31
37,Bangalore,2019-02-10
38,Bangalore,2021-05-26
39,Pune,2021-08-17
40,Mumbai,2023-04-20
41,Mumbai,2019-05-16
42,Delhi,2021-03-25
43,Delhi,2020-06-15
44,Bangalore,2023-01-14
45,Bangalore,2022-11-16
46,Pune,2021-04-17
47,Bangalore,2023-07-20
48,Delhi,2021-03-22
49,Mumbai,2022-04-18
50,Mumbai,2022-07-30
51,Delhi,2022-01-02
52,Mumbai,2023-07-29
53,Delhi,2020-10-08
54,Mumbai,2019-12-06
55,Delhi,2019-05-18
56,Bangalore,2020-04-19
57,Bangalore,2021-05-05
58,Pune,2023-06-23
59,Bangalore,2022-01-22
60,Bangalore,2022-01-03
61,Delhi,2023-09-29
62,Mumbai,2020-07-14
63,Delhi,2020-12-02
64,Pune,2020-12-03
65,Delhi,2019-05-09
66,Bangalore,2022-09-27
67,Pune,2020-03-24
68,Pune,2020-07-01
69,Mumbai,2020-10-15
70,Bangalore,2019-09-15
71,Pune,2021-08-19
72,Delhi,2020-10-19
73,Mumbai,2023-08-24
74,Delhi,2020-05-15
75,Pune,2021-05-06
76,Pune,2021-10-02
77,Pune,2020-06-02
78,Pune,2022-02-25
79,Delhi,2023-10-30
80,Mumbai,2019-08-21
81,Delhi,2020-02-18
82,Delhi,2021-09-27
83,Bangalore,2023-09-19
84,Mumbai,2019-08-13
85,Bangalore,2020-02-17
86,Mumbai,2021-03-30
87,Delhi,2019-02-19
88,Delhi,2019-03-22
89,Mumbai,2022-11-27
90,Mumbai,2023-05-30
91,Delhi,2022-01-30
92,Delhi,2021-08-22
93,Mumbai,2023-04-13
94,Delhi,2023-12-29
95,Mumbai,2021-12-09
96,Pune,2023-11-07
97,Delhi,2022-01-07
98,Pune,2019-05-08
99,Delhi,2020-09-08
100,Delhi,2021-05-20
101,Delhi,2022-03-23
102,Bangalore,2023-02-01
103,Mumbai,2019-07-18
104,Delhi,2023-04-19
105,Pune,2023-10-14
106,Mumbai,2022-01-15
107,Mumbai,2022-04-21
108,Pune,2020-11-24
109,Pune,2022-08-04
110,Delhi,2019-04-29
111,Pune,2021-05-24
112,Pune,2023-10-19
113,Pune,2023-07-08
114,Pune,2023-04-05
115,Delhi,2023-07-22
116,Mumbai,2021-04-04
117,Delhi,2022-12-18
118,Bangalore,2019-03-27
119,Delhi,2021-02-15
120,Bangalore,2022-06-01
121,Mumbai,2023-02-18
122,Pune,2021-11-10
123,Delhi,2020-05-04
124,Mumbai,2022-04-22
125,Delhi,2023-10-06
126,Bangalore,2020-01-02
127,Bangalore,2023-04-07
128,Mumbai,2020-12-28
129,Mumbai,2022-04-24
130,Pune,2023-02-11
131,Bangalore,2022-03-07
132,Bangalore,2021-07-10
133,Pune,2023-08-02
134,Bangalore,2023-09-17
135,Pune,2022-01-05
136,Mumbai,2019-02-20
137,Mumbai,2019-09-17
138,Delhi,2022-02-14
139,Delhi,2023-10-21
140,Pune,2022-05-26
141,Bangalore,2019-05-23
142,Pune,2023-10-02
143,Bangalore,2021-10-02
144,Delhi,2019-10-04
145,Pune,2023-03-29
146,Delhi,2021-01-30
147,Bangalore,2023-01-18
148,Bangalore,2022-04-06
149,Bangalore,2020-06-25
150,Bangalore,2021-08-18
151,Mumbai,2023-05-12
152,Bangalore,2021-06-08
153,Delhi,2019-06-03
154,Bangalore,2019-10-21
155,Pune,2021-10-17
156,Mumbai,2023-01-14
157,Delhi,2021-06-26
158,Bangalore,2019-09-10
159,Bangalore,2023-01-03
160,Mumbai,2022-03-14
161,Delhi,2021-04-15
162,Mumbai,2022-02-23
163,Delhi,2020-04-02
164,Pune,2021-06-23
165,Mumbai,2022-11-22
166,Mumbai,2022-12-23
167,Bangalore,2020-11-26
168,Bangalore,2023-02-01
169,Delhi,2020-04-30
170,Delhi,2023-10-23
171,Pune,2021-06-06
172,Bangalore,2020-02-17
173,Pune,2022-07-21
174,Pune,2019-03-16
175,Delhi,2022-06-17
176,Pune,2021-04-26
177,Bangalore,2022-04-26
178,Bangalore,2023-06-24
179,Delhi,2022-05-10
180,Mumbai,2019-05-08
181,Bangalore,2020-02-01
182,Pune,2023-04-18
183,Mumbai,2023-03-07
184,Mumbai,2019-05-11
185,Delhi,2019-03-29
186,Bangalore,2023-07-10
187,Pune,2021-07-28
188,Bangalore,2022-05-24
189,Delhi,2021-06-30
190,Delhi,2022-07-28
191,Delhi,2022-04-17
192,Bangalore,2019-06-10
193,Mumbai,2023-11-10
194,Bangalore,2020-03-20
195,Mumbai,2023-09-25
196,Pune,2023-10-26
197,Bangalore,2023-07-09
198,Delhi,2020-07-25
199,Delhi,2022-08-26
200,Pune,2021-04-30
201,Delhi,2019-11-09
202,Pune,2022-05-22
203,Bangalore,2022-08-30
204,Bangalore,2021-12-30
205,Pune,2022-06-26
206,Mumbai,2021-08-05
207,Bangalore,2022-12-01
208,Pune,2022-04-09
209,Mumbai,2023-10-26
210,Bangalore,2022-02-24
211,Delhi,2019-02-21
212,Mumbai,2023-08-31
213,Bangalore,2020-11-03
214,Bangalore,2021-01-22
215,Pune,2019-09-27
216,Bangalore,2019-02-25
217,Pune,2019-05-19
218,Bangalore,2022-08-17
219,Bangalore,2023-11-22
220,Bangalore,2019-07-27
221,Mumbai,2023-04-09
222,Pune,2019-01-19
223,Mumbai,2021-12-04
224,Bangalore,2021-12-19
225,Delhi,2020-05-05
226,Pune,2022-07-12
227,Pune,2019-03-28
228,Pune,2023-12-21
229,Bangalore,2022-01-21
230,Delhi,2022-09-13
231,Mumbai,2021-02-28
232,Delhi,2020-12-12
233,Mumbai,2022-04-22
234,Mumbai,2021-07-09
235,Delhi,2019-05-10
236,Bangalore,2022-10-22
237,Bangalore,2023-08-16
238,Pune,2019-05-10
239,Pune,2022-12-29
240,Mumbai,2023-04-01
241,Pune,2023-08-05
242,Pune,2019-03-02
243,Pune,2023-02-04
244,Mumbai,2023-03-05
245,Delhi,2022-02-03
246,Bangalore,2020-01-13
247,Mumbai,2020-11-08
248,Bangalore,2019-10-01
249,Bangalore,2021-06-14
250,Bangalore,2020-01-23
251,Delhi,2020-01-16
252,Mumbai,2020-08-09
253,Mumbai,2019-12-20
254,Delhi,2021-05-27
255,Bangalore,2023-03-10
256,Mumbai,2023-12-26
257,Mumbai,2023-07-15
258,Mumbai,2021-08-14
259,Delhi,2019-10-13
260,Pune,2022-09-11
261,Pune,2022-02-22
262,Bangalore,2022-08-31
263,Bangalore,2021-12-28
264,Bangalore,2023-07-16
265,Bangalore,2022-01-31
266,Bangalore,2019-09-13
267,Delhi,2024-01-01
268,Delhi,2019-12-27
269,Pune,2021-11-06
270,Pune,2019-08-20
271,Delhi,2021-01-17
272,Pune,2022-06-27
273,Pune,2020-05-10
274,Mumbai,2021-08-08
275,Mumbai,2019-02-27
276,Delhi,2023-06-06
277,Pune,2020-03-06
278,Mumbai,2023-11-09
279,Pune,2020-03-09
280,Mumbai,2020-01-21
281,Pune,2021-07-19
282,Mumbai,2021-04-19
283,Mumbai,2021-11-20
284,Delhi,2022-07-12
285,Delhi,2023-01-28
286,Bangalore,2022-01-24
287,Bangalore,2021-10-24
288,Pune,2020-05-01
289,Pune,2022-04-05
290,Pune,2022-04-11
291,Mumbai,2023-02-24
292,Bangalore,2022-12-06
293,Pune,2023-11-26
294,Delhi,2022-08-05
295,Delhi,2019-11-20
296,Pune,2020-06-13
297,Delhi,2020-11-20
298,Mumbai,2019-07-03
299,Pune,2019-06-15
300,Bangalore,2023-12-05
301,Pune,2019-10-13
302,Delhi,2019-10-13
303,Bangalore,2021-12-20
304,Mumbai,2023-08-02
305,Pune,2023-05-04
306,Delhi,2023-04-04
307,Pune,2021-03-30
308,Bangalore,2022-10-25
309,Pune,2023-07-01
310,Mumbai,2020-12-21
311,Mumbai,2023-12-09
312,Delhi,2020-10-22
313,Mumbai,2021-11-03
314,Delhi,2022-11-16
315,Delhi,2023-05-14
316,Mumbai,2020-06-18
317,Pune,2019-10-13
318,Delhi,2023-04-20
319,Bangalore,2020-03-16
320,Pune,2023-06-18
321,Pune,2023-01-19
322,Pune,2021-09-11
323,Pune,2021-12-16
324,Pune,2020-01-02
325,Mumbai,2019-10-25
326,Pune,2023-01-31
327,Bangalore,2023-11-02
328,Mumbai,2021-04-13
329,Bangalore,2023-10-28
330,Mumbai,2023-01-16
331,Delhi,2022-10-28
332,Mumbai,2021-05-10
333,Delhi,2021-08-13
334,Delhi,2023-11-09
335,Mumbai,2021-01-28
336,Bangalore,2020-10-01
337,Bangalore,2021-01-02
338,Bangalore,2023-06-16
339,Bangalore,2020-08-01
340,Mumbai,2020-04-14
341,Bangalore,2019-08-09
342,Delhi,2019-05-16
343,Pune,2020-06-18
344,Pune,2019-02-18
