order_id,customer_id,store_id,order_date,promotion_id
1,45308,33,2021-08-26,24
2,10070,81,2022-03-19,3
3,43308,17,2021-01-21,25
4,47997,85,2021-01-16,48
5,36546,81,2022-09-14,33
6,9479,84,2023-02-03,2
7,33431,77,2022-10-29,44
8,33130,61,2022-10-10,12
9,39339,29,2021-07-09,47
10,28094,21,2022-06-03,21
11,26670,54,2021-04-26,17
12,7224,85,2023-01-05,2
13,46135,93,2023-06-14,35
14,39033,87,2022-03-08,36
15,20101,57,2022-08-06,38
16,24181,19,2023-05-31,18
17,39062,30,2022-02-03,50
18,22043,69,2020-04-27,42
19,21963,18,2023-05-02,41
20,22715,11,2021-12-21,49
21,38754,57,2020-11-14,7
22,13747,48,2021-01-30,27
23,28602,59,2023-08-11,29
24,36534,100,2023-11-15,27
25,41687,63,2021-11-14,16
26,28497,2,2022-06-23,22
27,15432,1,2023-11-27,14
28,7528,75,2023-05-08,13
29,25105,85,2020-08-20,3
30,46564,35,2022-03-07,7
31,26192,90,2020-09-16,8
32,13281,41,2021-12-24,6
33,29880,42,2021-04-10,36
34,41391,92,2023-02-18,41
35,14688,60,2023-12-07,45
36,6276,23,2021-08-20,46
37,12703,38,2021-05-26,34
38,33697,67,2021-07-16,23
39,46646,71,2020-07-28,46
40,12412,6,2023-11-11,4
41,26297,22,2023-09-24,10
42,31340,71,2023-03-25,8
43,44129,80,2021-11-02,30
44,40757,60,2020-06-28,20
45,37080,72,2022-12-09,23
46,2216,2,2022-08-28,44
47,34281,47,2023-11-04,41
48,22491,100,2023-11-06,32
49,40684,54,2020-01-01,13
50,8567,3,2021-01-01,44
51,47209,65,2022-01-08,27
52,30912,18,2021-11-09,44
53,18029,78,2020-11-09,15
54,26471,54,2023-11-24,43
55,43946,8,2020-04-05,22
56,21082,58,2022-11-26,38
57,7722,53,2023-03-29,35
58,46847,87,2023-06-14,12
59,7851,17,2020-12-22,22
60,25550,61,2023-06-26,28
61,47833,56,2023-05-01,19
62,22271,12,2021-01-03,13
63,30855,69,2020-10-27,47
64,21641,52,2020-07-10,27
65,23258,37,2023-04-16,49
66,15443,27,2020-10-23,35
67,5264,49,2020-02-14,1
68,3043,39,2022-05-26,41
69,18367,34,2021-04-14,45
70,45927,28,2021-01-01,27
71,11277,50,2021-03-16,23
72,28145,83,2023-11-08,32
73,22326,20,2020-12-19,38
74,35693,18,2021-10-21,39
75,21309,98,2022-12-03,20
76,33530,55,2022-11-04,18
77,7525,80,2023-10-04,11
78,29718,2,2023-04-02,32
79,7001,79,2020-04-20,34
80,36347,81,2021-08-31,31
81,18873,91,2022-05-06,12
82,16629,30,2021-08-01,15
83,24395,26,2023-07-09,15
84,787,21,2022-04-19,13
85,30914,17,2023-11-17,5
86,26653,98,2021-11-07,2
87,25683,77,2020-07-10,10
88,45044,30,2022-10-27,35
89,47888,65,2020-03-08,6
90,37276,40,2021-09-19,19
91,2617,42,2021-08-18,35
92,1583,21,2021-02-14,21
93,19730,27,2020-09-03,37
94,18240,87,2023-11-15,34
95,27419,5,2023-02-19,49
96,29759,6,2020-05-24,3
97,11472,37,2020-07-18,9
98,17215,47,2022-04-08,23
99,27554,50,2022-11-11,3
100,9504,99,2021-01-21,24
101,8250,94,2020-06-26,47
102,29863,31,2023-09-09,27
103,5224,5,2022-02-06,2
104,29830,91,2021-12-31,22
105,45895,43,2021-11-20,39
106,33038,56,2020-11-14,35
107,31852,55,2022-12-26,39
108,26897,74,2022-02-03,1
109,17800,8,2023-07-02,49
110,2393,92,2021-03-26,39
111,33653,10,2023-03-09,36
112,45722,75,2023-12-19,44
113,39522,1,2021-06-14,6
114,30233,95,2023-12-09,39
115,40969,5,2022-11-03,25
116,17255,88,2023-05-25,37
117,47773,54,2021-01-26,22
118,40732,93,2023-06-08,35
119,38059,27,2022-04-30,21
120,34612,5,2021-06-08,12
121,3405,10,2021-04-17,46
122,42182,69,2022-07-31,50
123,6859,88,2020-04-07,30
124,9599,97,2020-06-30,44
125,1968,91,2022-11-27,30
126,29847,46,2022-09-09,33
127,14827,57,2020-02-20,26
128,22545,53,2020-09-20,14
129,26557,18,2020-05-03,27
130,4625,24,2020-05-18,31
131,45235,87,2020-04-20,26
132,10739,94,2022-02-27,38
133,42355,89,2021-03-06,11
134,44568,24,2020-04-25,26
135,15654,52,2022-05-08,21
136,26724,6,2023-08-03,20
137,32384,17,2023-11-17,32
138,10811,46,2020-10-26,36
139,41901,64,2021-09-06,12
140,47168,22,2023-06-24,42
141,18241,97,2020-05-12,49
142,15458,5,2022-06-27,49
143,22074,6,2021-12-12,48
144,1018,72,2020-01-18,40
145,31293,96,2020-10-20,30
146,28907,86,2021-05-12,6
147,6197,100,2021-06-17,10
148,5492,17,2023-09-09,3
149,1701,50,2020-04-09,48
150,47262,51,2023-05-21,18
151,2522,82,2020-04-28,15
152,8806,3,2020-09-04,30
153,35451,59,2020-10-30,6
154,30307,4,2020-03-18,22
155,3701,90,2022-10-27,50
156,46780,9,2023-06-17,48
157,39044,64,2023-09-16,13
158,48501,60,2020-01-05,16
159,47975,14,2020-11-05,30
160,24053,4,2022-08-02,43
161,31875,3,2022-07-25,7
162,21807,17,2021-03-19,41
163,34219,94,2023-06-09,25
164,32276,77,2021-11-24,26
165,14853,41,2020-09-16,2
166,34927,76,2020-05-17,43
167,42854,58,2020-05-07,40
168,28945,80,2021-10-06,27
169,34678,27,2022-08-31,10
170,49677,3,2020-12-22,6
171,21979,69,2020-02-15,1
172,27255,98,2023-07-31,33
173,13219,78,2020-02-15,45
174,29119,33,2021-04-21,34
175,25286,5,2022-09-11,44
176,48551,84,2020-11-08,31
177,43316,1,2021-06-15,12
178,24346,74,2023-10-26,49
179,7777,42,2021-03-30,2
180,23920,71,2023-02-23,40
181,32340,51,2023-10-02,50
182,42036,14,2020-09-18,33
183,45118,63,2020-02-17,7
184,36041,31,2020-04-08,18
185,34875,20,2020-01-21,30
186,44044,66,2021-12-08,5
187,10936,73,2020-09-11,19
188,36034,5,2022-10-13,8
189,16669,73,2020-06-01,29
190,19760,89,2021-05-30,3
191,25043,83,2023-11-30,19
192,2651,35,2020-10-22,40
193,34582,2,2021-03-24,17
